"","bottle","light_treatment","richness","composition","incubator"
"1","b_01","constant",10,"c_08","A"
"2","b_02","constant",7,"c_02","A"
"3","b_03","constant",14,"c_11","A"
"4","b_04","constant",7,"c_05","A"
"5","b_05","decreasing",14,"c_13","B"
"6","b_06","decreasing",14,"c_11","B"
"7","b_07","decreasing",10,"c_06","B"
"8","b_08","decreasing",7,"c_01","B"
"9","b_09","decreasing",7,"c_02","C"
"10","b_10","decreasing",10,"c_07","C"
"11","b_11","decreasing",10,"c_08","C"
"12","b_12","decreasing",14,"c_14","C"
"13","b_13","constant",10,"c_06","D"
"14","b_14","constant",7,"c_03","D"
"15","b_15","constant",14,"c_14","D"
"16","b_16","constant",14,"c_15","D"
"17","b_17","decreasing",7,"c_05","E"
"18","b_18","decreasing",7,"c_04","E"
"19","b_19","decreasing",14,"c_12","E"
"20","b_20","decreasing",10,"c_09","E"
"21","b_21","constant",10,"c_07","F"
"22","b_22","constant",10,"c_10","F"
"23","b_23","constant",7,"c_04","F"
"24","b_24","constant",14,"c_13","F"
"25","b_25","decreasing",7,"c_03","G"
"26","b_26","decreasing",14,"c_15","G"
"27","b_27","decreasing",10,"c_10","G"
"28","b_28","constant",10,"c_09","H"
"29","b_29","constant",14,"c_12","H"
"30","b_30","constant",7,"c_01","H"
